Rank,Geographic_Area,Pop_Est_ Apr_2020 ,Pop_Est_Jul_2020,Pop_Est_Jul_2021
1,"New York city, New York",8804190,8772978,8467513
2,"Los Angeles city, California",3893986,3889834,3849297
3,"Chicago city, Illinois",2747231,2741730,2696555
4,"Houston city, Texas",2302792,2300027,2288250
5,"Phoenix city, Arizona",1607739,1611345,1624569
6,"Philadelphia city, Pennsylvania",1603797,1601005,1576251
7,"San Antonio city, Texas",1434270,1438227,1451853
8,"San Diego city, California",1385922,1385394,1381611
9,"Dallas city, Texas",1304442,1303234,1288457
10,"San Jose city, California",1014545,1010908,983489
11,"Austin city, Texas",959549,963121,964177
12,"Jacksonville city, Florida",949577,950463,954614
13,"Fort Worth city, Texas",918377,922592,935508
14,"Columbus city, Ohio",905672,905860,906528
15,"Indianapolis city (balance), Indiana",887752,887382,882039
16,"Charlotte city, North Carolina",874541,876747,879709
17,"San Francisco city, California",873965,870014,815201
18,"Seattle city, Washington",735157,738172,733919
19,"Denver city, Colorado",715522,717630,711463
20,"Oklahoma City city, Oklahoma",681387,682760,687725
21,"Nashville-Davidson metropolitan government (balance), Tennessee",689504,689248,678851
22,"El Paso city, Texas",678587,678598,678415
23,"Washington city, District of Columbia",689545,690093,670050
24,"Boston city, Massachusetts",676216,674272,654776
25,"Las Vegas city, Nevada",641825,643292,646790
26,"Portland city, Oregon",652089,652388,641162
27,"Detroit city, Michigan",639614,638176,632464
28,"Louisville/Jefferson County metro government (balance), Kentucky",632689,632037,628594
29,"Memphis city, Tennessee",632207,631326,628127
30,"Baltimore city, Maryland",585708,583132,576498
31,"Milwaukee city, Wisconsin",577235,576301,569330
32,"Albuquerque city, New Mexico",564563,564648,562599
33,"Fresno city, California",542161,542159,544510
34,"Tucson city, Arizona",541349,541859,543242
35,"Sacramento city, California",522754,523416,525041
36,"Mesa city, Arizona",504500,505860,509475
37,"Kansas City city, Missouri",507969,507932,508394
38,"Atlanta city, Georgia",498602,499586,496461
39,"Omaha city, Nebraska",490627,491168,487300
40,"Colorado Springs city, Colorado",479260,480213,483956
41,"Raleigh city, North Carolina",467592,467425,469124
42,"Virginia Beach city, Virginia",459470,459373,457672
43,"Long Beach city, California",466302,464759,456062
44,"Miami city, Florida",442265,441889,439890
45,"Oakland city, California",439349,439341,433823
46,"Minneapolis city, Minnesota",428403,429014,425336
47,"Tulsa city, Oklahoma",412458,412629,411401
48,"Bakersfield city, California",402907,403401,407615
49,"Wichita city, Kansas",397070,397117,395699
50,"Arlington city, Texas",394218,393985,392786
51,"Aurora city, Colorado",386241,386580,389347
52,"Tampa city, Florida",382769,383980,387050
53,"New Orleans city, Louisiana",383997,383282,376971
54,"Cleveland city, Ohio",373091,372032,367991
55,"Anaheim city, California",347015,347089,345940
56,"Urban Honolulu CDP, Hawaii",350943,349800,345510
57,"Henderson city, Nevada",317521,319055,322178
58,"Stockton city, California",320759,320745,322120
59,"Lexington-Fayette urban county, Kentucky",322570,322403,321793
60,"Corpus Christi city, Texas",317929,317852,317773
61,"Riverside city, California",314347,314655,317261
62,"Santa Ana city, California",310538,309888,309441
63,"Orlando city, Florida",307674,307603,309154
64,"Irvine city, California",305313,306389,309031
65,"Cincinnati city, Ohio",310242,310113,308935
66,"Newark city, New Jersey",310876,310350,307220
67,"St. Paul city, Minnesota",311448,310942,307193
68,"Pittsburgh city, Pennsylvania",303160,302777,300431
69,"Greensboro city, North Carolina",297899,297808,298263
70,"St. Louis city, Missouri",301578,300528,293310
71,"Lincoln city, Nebraska",291114,291383,292657
72,"Plano city, Texas",285900,286668,288253
73,"Anchorage municipality, Alaska",291247,290637,288121
74,"Durham city, North Carolina",283547,284400,285527
75,"Jersey City city, New Jersey",292412,291927,283927
76,"Chandler city, Arizona",276330,277556,279458
77,"Chula Vista city, California",276025,276466,277220
78,"Buffalo city, New York",278302,277908,276807
79,"North Las Vegas city, Nevada",262678,264216,274133
80,"Gilbert town, Arizona",268302,269206,273136
81,"Madison city, Wisconsin",268414,268846,269196
82,"Reno city, Nevada",263436,264116,268851
83,"Toledo city, Ohio",270726,270041,268508
84,"Fort Wayne city, Indiana",263852,264169,265974
85,"Lubbock city, Texas",257180,257882,260993
86,"St. Petersburg city, Florida",258277,258658,258201
87,"Laredo city, Texas",255181,255336,256153
88,"Irving city, Texas",256793,256873,254198
89,"Chesapeake city, Virginia",249422,249679,251269
90,"Winston-Salem city, North Carolina",249443,249349,250320
91,"Glendale city, Arizona",248345,248797,249630
92,"Scottsdale city, Arizona",241488,241933,242753
93,"Garland city, Texas",246132,245478,242035
94,"Boise City city, Idaho",235670,235829,237446
95,"Norfolk city, Virginia",238005,237591,235089
96,"Spokane city, Washington",228831,228850,229071
97,"Fremont city, California",232084,231673,227514
98,"Richmond city, Virginia",226610,226670,226604
99,"Santa Clarita city, California",229213,228487,224593
100,"San Bernardino city, California",221898,221784,222203
101,"Baton Rouge city, Louisiana",225128,224480,222185
102,"Hialeah city, Florida",223017,222153,220490
103,"Tacoma city, Washington",219025,219383,219205
104,"Modesto city, California",218471,218459,218771
105,"Port St. Lucie city, Florida",204913,206752,217523
106,"Huntsville city, Alabama",214372,215043,216963
107,"Des Moines city, Iowa",214137,213699,212031
108,"Moreno Valley city, California",208865,209213,211600
109,"Fontana city, California",208766,208810,210761
110,"Frisco city, Texas",200675,202786,210719
111,"Rochester city, New York",211233,210943,210606
112,"Yonkers city, New York",211237,210970,209530
113,"Fayetteville city, North Carolina",208871,208576,208778
114,"Worcester city, Massachusetts",206601,206242,205918
115,"Columbus city, Georgia",206922,206960,205617
116,"Cape Coral city, Florida",194979,196290,204510
117,"McKinney city, Texas",195057,197122,202690
118,"Little Rock city, Arkansas",202514,202484,201998
119,"Oxnard city, California",202185,202242,201879
120,"Amarillo city, Texas",200904,200897,201234
121,"Augusta-Richmond County consolidated government (balance), Georgia",202123,201850,201196
122,"Salt Lake City city, Utah",198746,199587,200478
