Geographic Area,Bi-Annual Delta,Annual Delta
"New York city, New York",-336677,-305465
"Los Angeles city, California",-44689,-40537
"Chicago city, Illinois",-50676,-45175
"Houston city, Texas",-14542,-11777
"Phoenix city, Arizona",16830,13224
"Philadelphia city, Pennsylvania",-27546,-24754
"San Antonio city, Texas",17583,13626
"San Diego city, California",-4311,-3783
"Dallas city, Texas",-15985,-14777
"San Jose city, California",-31056,-27419
"Austin city, Texas",4628,1056
"Jacksonville city, Florida",5037,4151
"Fort Worth city, Texas",17131,12916
"Columbus city, Ohio",856,668
"Indianapolis city (balance), Indiana",-5713,-5343
"Charlotte city, North Carolina",5168,2962
"San Francisco city, California",-58764,-54813
"Seattle city, Washington",-1238,-4253
"Denver city, Colorado",-4059,-6167
"Oklahoma City city, Oklahoma",6338,4965
"Nashville-Davidson metropolitan government (balance), Tennessee",-10653,-10397
"El Paso city, Texas",-172,-183
"Washington city, District of Columbia",-19495,-20043
"Boston city, Massachusetts",-21440,-19496
"Las Vegas city, Nevada",4965,3498
"Portland city, Oregon",-10927,-11226
"Detroit city, Michigan",-7150,-5712
"Louisville/Jefferson County metro government (balance), Kentucky",-4095,-3443
"Memphis city, Tennessee",-4080,-3199
"Baltimore city, Maryland",-9210,-6634
"Milwaukee city, Wisconsin",-7905,-6971
"Albuquerque city, New Mexico",-1964,-2049
"Fresno city, California",2349,2351
"Tucson city, Arizona",1893,1383
"Sacramento city, California",2287,1625
"Mesa city, Arizona",4975,3615
"Kansas City city, Missouri",425,462
"Atlanta city, Georgia",-2141,-3125
"Omaha city, Nebraska",-3327,-3868
"Colorado Springs city, Colorado",4696,3743
"Raleigh city, North Carolina",1532,1699
"Virginia Beach city, Virginia",-1798,-1701
"Long Beach city, California",-10240,-8697
"Miami city, Florida",-2375,-1999
"Oakland city, California",-5526,-5518
"Minneapolis city, Minnesota",-3067,-3678
"Tulsa city, Oklahoma",-1057,-1228
"Bakersfield city, California",4708,4214
"Wichita city, Kansas",-1371,-1418
"Arlington city, Texas",-1432,-1199
"Aurora city, Colorado",3106,2767
"Tampa city, Florida",4281,3070
"New Orleans city, Louisiana",-7026,-6311
"Cleveland city, Ohio",-5100,-4041
"Anaheim city, California",-1075,-1149
"Urban Honolulu CDP, Hawaii",-5433,-4290
"Henderson city, Nevada",4657,3123
"Stockton city, California",1361,1375
"Lexington-Fayette urban county, Kentucky",-777,-610
"Corpus Christi city, Texas",-156,-79
"Riverside city, California",2914,2606
"Santa Ana city, California",-1097,-447
"Orlando city, Florida",1480,1551
"Irvine city, California",3718,2642
"Cincinnati city, Ohio",-1307,-1178
"Newark city, New Jersey",-3656,-3130
"St. Paul city, Minnesota",-4255,-3749
"Pittsburgh city, Pennsylvania",-2729,-2346
"Greensboro city, North Carolina",364,455
"St. Louis city, Missouri",-8268,-7218
"Lincoln city, Nebraska",1543,1274
"Plano city, Texas",2353,1585
"Anchorage municipality, Alaska",-3126,-2516
"Durham city, North Carolina",1980,1127
"Jersey City city, New Jersey",-8485,-8000
"Chandler city, Arizona",3128,1902
"Chula Vista city, California",1195,754
"Buffalo city, New York",-1495,-1101
"North Las Vegas city, Nevada",11455,9917
"Gilbert town, Arizona",4834,3930
"Madison city, Wisconsin",782,350
"Reno city, Nevada",5415,4735
"Toledo city, Ohio",-2218,-1533
"Fort Wayne city, Indiana",2122,1805
"Lubbock city, Texas",3813,3111
"St. Petersburg city, Florida",-76,-457
"Laredo city, Texas",972,817
"Irving city, Texas",-2595,-2675
"Chesapeake city, Virginia",1847,1590
"Winston-Salem city, North Carolina",877,971
"Glendale city, Arizona",1285,833
"Scottsdale city, Arizona",1265,820
"Garland city, Texas",-4097,-3443
"Boise City city, Idaho",1776,1617
"Norfolk city, Virginia",-2916,-2502
"Spokane city, Washington",240,221
"Fremont city, California",-4570,-4159
"Richmond city, Virginia",-6,-66
"Santa Clarita city, California",-4620,-3894
"San Bernardino city, California",305,419
"Baton Rouge city, Louisiana",-2943,-2295
"Hialeah city, Florida",-2527,-1663
"Tacoma city, Washington",180,-178
"Modesto city, California",300,312
"Port St. Lucie city, Florida",12610,10771
"Huntsville city, Alabama",2591,1920
"Des Moines city, Iowa",-2106,-1668
"Moreno Valley city, California",2735,2387
"Fontana city, California",1995,1951
"Frisco city, Texas",10044,7933
"Rochester city, New York",-627,-337
"Yonkers city, New York",-1707,-1440
"Fayetteville city, North Carolina",-93,202
"Worcester city, Massachusetts",-683,-324
"Columbus city, Georgia",-1305,-1343
"Cape Coral city, Florida",9531,8220
"McKinney city, Texas",7633,5568
"Little Rock city, Arkansas",-516,-486
"Oxnard city, California",-306,-363
"Amarillo city, Texas",330,337
"Augusta-Richmond County consolidated government (balance), Georgia",-927,-654
"Salt Lake City city, Utah",1732,891
"Montgomery city, Alabama",-1902,-1341
"Birmingham city, Alabama",-3188,-2558
"Grand Rapids city, Michigan",-1071,-757
"Grand Prairie city, Texas",1075,1016
"Overland Park city, Kansas",-189,-481
"Tallahassee city, Florida",1034,760
"Huntington Beach city, California",-2488,-2055
"Sioux Falls city, South Dakota",3845,3295
"Peoria city, Arizona",3865,2932
"Knoxville city, Tennessee",2637,2054
"Glendale city, California",-4475,-3842
"Vancouver city, Washington",1359,1098
"Providence city, Rhode Island",-592,-409
"Akron city, Ohio",-1187,-817
"Brownsville city, Texas",1220,1069
"Mobile city, Alabama",-1881,-1459
"Newport News city, Virginia",-1660,-1329
"Tempe city, Arizona",4353,3295
"Shreveport city, Louisiana",-3972,-3317
"Chattanooga city, Tennessee",879,489
"Fort Lauderdale city, Florida",-1149,-1121
"Aurora city, Illinois",-1422,-1089
"Elk Grove city, California",1852,1365
"Ontario city, California",2445,2018
"Salem city, Oregon",2291,1917
"Cary town, North Carolina",2233,1598
"Santa Rosa city, California",-1217,-944
"Rancho Cucamonga city, California",514,570
"Eugene city, Oregon",343,294
"Oceanside city, California",-1370,-1146
"Clarksville city, Tennessee",4323,3699
"Garden Grove city, California",-1656,-1341
"Lancaster city, California",-3155,-2712
"Springfield city, Missouri",-43,98
